category	paragraph_1	paragraph_2	len_paragraph_1	is_plagiarism	plagiarism_type
history	Sri Sultan pun mengangkat dua karung besar beras ke bagian belakang kendaraannya. Sementara itu sang penjual beras langsung menaiki jip dan duduk di samping Sri Sultan	Pada suatu pagi di bulan Oktober 1927, sebuah kapal penumpang berangkat dari kota pelabuhan Stettin menuju lautan Baltik, dengan tujuan akhir Leningrad di Uni Soviet. Hari itu udara begitu dingin, dan angin bertiup cukup kencang	2	False	non-plagiarism
history	Sepanjang jalan, mereka ngobrol dengan akrabnya hingga tak terasa sampai tujuan. Tanpa diperintah, Sri Sultan lantas keluar dari mobil	Selama kurang lebih 10 hari tinggal di Soviet, Subardjo menyaksikan secara langsung panasnya situasi politik di negeri berjuluk Beruang Merah tersebut. Rasa simpati dan antipati masyarakat terhadap para pemimpin di sana memberi kesan yang dalam bagi Subardjo. Dia menyebut bahwa kondisi itu terjadi akibat sikap saling mencurigai dan membenci di antara tokoh-tokoh besar Uni Soviet.	2	False	non-plagiarism
history	Dengan tangkas diturunkannya karung-karung berisi beras tersebut.	Dengan tangkas diturunkannya karung-karung berisi beras tersebut.	1	True	literal
history	Begitu selesai, penjual beras itu lantas merogoh kemben usangnya dan mengeluarkan uang lembaran dan disodorkan ke Sri Sultan. Lelaki ramah itu tersenyum dan menggelengkan kepala. Disikapi seperti itu, alih-alih berterimakasih, sang penjual beras malah ngomel-ngomel, dikiranya “sang sopir” tidak mau menerima ongkos karena jumlah uangnya yang kurang.	Beberapa saat kemudian, sang komandan sudah kembali. Menurut penyidikan yang sudah dilakukannya, ternyata pot itu pecah karena terkena cakram. Bung Karno nampak terkejut mendengar laporan tersebut. Dia pastinya tahu bahwa satu-satunya orang yang memiliki hobi main lempar cakram adalah putera sulungnya.	3	False	non-plagiarism
history	Dengan sabar, Sri Sultan mengatakan,” Pun boten sisah, Mbakyu.” Artinya: tidak usah bayar, Mbak. Tanpa menunggu jawaban dari si penjual beras, Sri Sultan lantas memacu Land Rover-nya ke arah keraton.	"Dengan sabar, kata Sri Sultan, ""Boten Sahah, Mbakyu."" Artinya: Tidak perlu membayar, Mbak. Tanpa menunggu jawaban dari penjual beras, Sri Sultan kemudian memacu Land Rover menuju Keraton. "	2	True	paraphrase
history	“ E, eeee…Diwenehi duwit kok nampik. Sumengkean temen ta sopir kuwi,” gerutu penjual beras itu. Ya, siapa yang tak berkata demikian di zaman susah itu jika ada sopir angkutan yang begitu “belagu” menampik duit.	"""E, Eeee ... Duwit Duwit Kok Nampik. Teman SumengKean dari pengemudi Kuwi,"" menggerutu penjual beras. Ya, siapa yang tidak mengatakannya dalam waktu yang sulit jika ada pengemudi transportasi yang begitu ""Belagu"" menolak uang. "	3	True	paraphrase
history	Kendaraan Sri Sultan sudah berlalu, namun perempuan itu tetap saja mengomel. Tanpa disadarinya sudah lama prilakunya disaksikan banyak orang yang ada di sekitarnya. Seorang polisi lantas menghampiri penjual beras itu dan memberitahu jika “sopir” yang baru diomelinya itu adalah Ngarsa Dalem.	Seorang polisi lantas menghampiri penjual beras itu dan memberitahu jika “sopir” yang baru diomelinya itu adalah Ngarsa Dalem.	3	True	partial literal
history	Bukan main kagetnya penjual beras itu. Bahkan saking kagetnya, ia lantas terhuyung-huyung dan jatuh pingsan hingga dilarikan ke Rumah Sakit Bethesda. Kejadian itu lantas berkembang dari mulut ke mulut hingga sampai ke telinga Sri Sultan.	Bukan main kagetnya penjual beras itu	3	True	partial literal
history	BERTANYALAH ke para sepuh di Yogyakarta: siapa pemimpin yang menjadi panutan mereka? Pastilah jawabannya: Sri Sultan Hamengkubuwono IX. Hingga kini orang-orang tua di wilayah Yogyakarta dan sekitarnya tak pernah akan melupakan sosok Sri Sultan Hamengkubuwono IX. Sebagai raja Jawa, banyak kalangan yang memandangnya sebagai sosok terbesar di sepanjang zaman.	Sepekan sudah Mochtar Lubis menjadi warga Nirbaya. Pengalaman kocak yang menghibur penghuni rutan blok Amal terjadi. “Jenderal Pranoto sambil tertawa menceritakan pada kami pengalamannya yang cukup lucu kemarin,” kata Mochtar dalam catatan bertanggal 11 Februari.	3	False	non-plagiarism
history	Sejatinya kisah kesederhanaan dan kemurahan hati yang dimiliki oleh lelaki yang dilantik sebagai raja pada 18 Maret 1940 itu, bukan saja diketahui oleh rakyatnya. Para kolega di luar lingkungan Kasultanan Ngayogyakarta Hadiningrat pun menjadi saksi betapa pemurahnya Sri Sultan.	Sejatinya dongeng kesederhanaan bersama kemurahan perdata nan dimiliki karena lelaki yang dilantik menjadi raja pada 18 Maret 1940 itu enggak saja diketahui cak  sama rakyatnya Para kroni di asing dunia Kasultanan Ngayogyakarta Hadiningrat juga selaku saksi betapa pemurahnya Sri Sultan 	2	True	structural change
history	Syahdan ketika tentara Belanda ditarik dari Yogyakarta pada Juni 1949, TNI harus mengisi kekosongan kawasan ibu kota RI tersebut. Selain itu, sebagian anak buah Panglima Besar Jenderal Soedirman tersebut akan sering berhadapan dengan para peninjau PBB. Di sinilah masalah muncul: penampilan prajurit-prajurit TNI sama sekali jauh dari kelayakan sebuah tentara. Sebagian besar pakaian mereka sudah rombeng karena terlalu lama berperang di hutan-hutan.	Beberapa saat kemudian, sang komandan sudah kembali. Menurut penyidikan yang sudah dilakukannya, ternyata pot itu pecah karena terkena cakram. Bung Karno nampak terkejut mendengar laporan tersebut. Dia pastinya tahu bahwa satu-satunya orang yang memiliki hobi main lempar cakram adalah putera sulungnya.	4	False	non-plagiarism
history	Sebagai Menteri Negara dan Koordinator Keamanan RI, pasca penyerahan kedaulatan, Sri Sultan dengan Land Rover-nya kerap blusukan ke seluruh wilayah Yogyakarta untuk memeriksa keadaan rakyat. Tak jarang ia melakukannya sendirian. Letnan Kolonel Pranoto Reksosamodra, komandan Brigade IX Divisi III memiliki pengalaman mengesankan saat mengawal Sri Sultan.	Beberapa saat kemudian, sang komandan sudah kembali. Menurut penyidikan yang sudah dilakukannya, ternyata pot itu pecah karena terkena cakram. Bung Karno nampak terkejut mendengar laporan tersebut. Dia pastinya tahu bahwa satu-satunya orang yang memiliki hobi main lempar cakram adalah putera sulungnya.	3	False	non-plagiarism
history	Ceritanya, sekembali blusukan dari wilayah Tempel, mereka menyaksikan asap mengepul dari arah selatan Pabrik Gula Medari. Rupanya itu adalah kelakuan tentara Belanda yang geram dan sebelum mundur menumpahkan drum-drum berisi minyak residu ke sungai yang ada di sana lalu membakarnya.	Ceritanya sekembali blusukan bermula wilayah Tempel gas disaksi mereka mengepul dari hadap kidul Pabrik Gula Medari Rupanya itu ialah kelakuan angkatan Belanda nan marah maka sebelum mundur menumpahkan drum-drum bermakna minyak residu ke batang air nan sedia dalam sana arkian membakarnya 	2	True	structural change
history	Demi melihat situasi itu, dengan tangkas, Sri Sultan membanting setirnya, keluar dari jalur utama dan memotong dengan jalan pintas melalui tanah pesawahan dan jalan desa yang berbatu dan masih ditumbuhi semak-semak belukar. Begitu sampai ke lokasi, mereka lantas berloncatan dan dengan menggunakan pacul yang tadinya tersandar pada dinding-dinding rumah penduduk, menimbuni api yang menjalar itu dengan pasir hingga padam.	Demi melihat posisi itu bersama-sama tangkas Sri Sultan mengeban setirnya pergi dari alur transenden bersama menutuh dengan jalan menginterupsi melalui tanah pesawahan bersama berlarut-larut babakan nan berbatu bersama tinggal ditumbuhi semak-semak belukar Begitu datang ke lokasi mereka baru berloncatan dan bersama menyedot cangkul nan tadinya tersandar pada dinding-dinding rumah penunggu mengubur api nan menjalar itu sambil ramal santak padam 	2	True	structural change
history	Lain kesempatan, saat blusukan di Kota Gede secara tiba-tiba Sri Sultan menghentikan Land Rover-nya lantas melangkah menuju pasar. Di hadapan seorang perempuan penjual beras ia sekonyong-konyong berhenti dan berjongkok sambil memegang butiran beras-beras.	Sepekan sudah Mochtar Lubis menjadi warga Nirbaya. Pengalaman kocak yang menghibur penghuni rutan blok Amal terjadi. “Jenderal Pranoto sambil tertawa menceritakan pada kami pengalamannya yang cukup lucu kemarin,” kata Mochtar dalam catatan bertanggal 11 Februari.	2	False	non-plagiarism
history	Kontan gegerlah situasi pasar tersebut. “Orang-orang seisi pasar itu semuanya berjongkok saat mengetahui kehadiran rajanya di tempat itu…” kenang sang jenderal seperti dinukil dalam biografinya, Catatan Jenderal Pranoto Reksosamodra: Dari RTM Boedi Oetomo sampai Nirbaya.	"Kontan gegerlah posisi pasar a "" Orang-orang sepenuh pasar itu seberinda merangkung detik menyelami kehadiran rajanya di wadah itu… "" kenang sang jenderal bagai dinukil internal biografinya Catatan Jenderal Pranoto Reksosamodra : Dari RTM Boedi Oetomo datang Nirbaya "	2	True	structural change
history	Pada suatu pagi di bulan Oktober 1927, sebuah kapal penumpang berangkat dari kota pelabuhan Stettin menuju lautan Baltik, dengan tujuan akhir Leningrad di Uni Soviet. Hari itu udara begitu dingin, dan angin bertiup cukup kencang	Hari itu udara begitu dingin, dan angin bertiup cukup kencang	2	True	partial literal
history	Hawanya semakin menusuk kala kapal bergerak menuju tengah lautan. Gelombang besar silih berganti menghantam badan kapal, membuat isi di dalamnya berguncang dan menghadirkan kengerian bagi para penumpangnya	Bukan main marahnya Bung Karno mendengar jawaban semua pelayannya tersebut. Dia kemudian memerintahkan pengawalnya untuk memanggil komandan jaga hari itu. Datanglah dia dengan tergopoh-gopoh.	2	False	non-plagiarism
history	Pemandangan tersebut juga dirasa cukup menakutkan bagi Ahmad Subardjo, terlebih ketika banyak awak kapal menderita mabuk laut sewaktu sedang makan malam.	Pemandangan tercantum juga dirasa layak meragukan mengecutkan hati belah Ahmad Subardjo lebih-lebih ketika besarnya awak risa menderita mabuk bahar serempak sedang makan lilin batik 	1	True	structural change
history	Ahmad Subardjo saat itu sedang dalam perjalanan menuju Moskow. Dia dan kawannya bernama Sulaiman, mendapatkan undangan dari pemerintah Uni Soviet untuk hadir mewakili Perhimpunan Indonesia dalam acara peringatan ulang tahun ke-10 Uni Soviet pada November 1927. Perayaan tersebut akan dihadiri pula oleh pemimpin-pemimpin gerakan kemerdekaan dari berbagai belahan dunia, tokoh-tokoh terkemuka, serta wakil dari organisasi-organisasi yang turut serta dalam Kongres Brussel.	Rumah Tahanan Nirbaya yang terletak di kawasan Lubang Buaya, Jakarta Timur. Nama resminya adalah Instalasi Rehabilitasi Nirbaya disingkat Inrehab Nirbaya. Di tempat inilah sejumlah pejabat dan perwira tinggi yang terindikasi Gerakan 30 September (G30S) mendekam dalam status tahanan politik (tapol).	3	False	non-plagiarism
history	Setelah melewati beberapa malam di atas kapal, Subardjo dan Sulaiman tiba di Leningrad. Sejumlah utusan pemerintah Soviet menyambut kedatangan mereka, dan langsung membawa keduanya ke sebuah gedung besar di pusat kota. Menurut Subardjo dalam keterangan di otobiografinya, Kesadaran Nasional Sebuah Otobiografi, bangunan megah nan indah yang akan menjadi tempat tinggal mereka selama di Leningrad itu merupakan rumah bekas bangsawan Rusia zaman Czar. Subardjo lalu diminta mengisi beberapa dokumen, sambil beristirahat, sebelum memasuki acara utama.	Setelah melewati beberapa malam di atas kapal, Subardjo dan Sulaiman tiba di Leningrad. Sejumlah utusan pemerintah Soviet menyambut kedatangan mereka, dan segera membawa keduanya ke gedung besar di pusat kota. Menurut Subardjo dalam sebuah pernyataan dalam otobiografinya, kesadaran nasional akan otobiografi, sebuah bangunan indah nan yang luar biasa yang akan menjadi tempat tinggal mereka saat berada di Leningrad adalah bekas bangsawan Rusia dari Czar. Subardjo kemudian diminta untuk mengisi beberapa dokumen, sambil beristirahat, sebelum memasuki acara utama. 	4	True	paraphrase
history	“Di meja persegi kami duduk berempat, dua pengantar orang Rusia, Sulaiman dan saya. Saya kira pengantar tersebut adalah petugas-petugas rahasia, kesimpulan mana dapat kami ambil, karena pertanyaan-pertanyaan yang diajukan menyangkut riwayat hidup, keadaan mental kami dan sebagainya. Akan tetapi mereka sangat sopan dan menerangkan kepada kami mengenai perayaan ulang tahun ke-10 Uni Soviet,” kata Subardjo.	"""Di meja persegi kami duduk berempat, dua perkenalan Rusia, Sulaiman dan aku. Saya pikir pengenalannya adalah petugas rahasia, kesimpulan di mana kita dapat mengambil, karena pertanyaan-pertanyaan diajukan mengenai sejarah mentalitas kita dan sebagainya. Tetapi mereka Sangat sopan dan dijelaskan kepada kami tentang perayaan ulang tahun ke-10 Uni Soviet, ""kata Subardjo. "	3	True	paraphrase
history	Selama tiga hari di Leningrad, Subardjo menghabiskan sebagian besar waktunya dengan berbagai macam hiburan. Dia pergi ke sebuah pertunjukkan opera musik khas Soviet pada hari pertama, dan menghabiskan malam di sana	Selama tiga hari di Leningrad, Subardjo menghabiskan sebagian besar waktunya dengan berbagai macam hiburan. Dia pergi ke acara opera musik Soviet yang khas pada hari pertama, dan menghabiskan malam di sana 	2	True	paraphrase
history	Hari berikutnya dia ikut bersama rombongan berwisata ke tempat-tempat bersejarah di kota. Subardjo dan Sulaiman mengunjungi Istana Musim Dingin, tempat bentrokan sewaktu terjadi Revolusi Oktober; pabrik-pabrik zaman Czar; dan ikon-ikon kota Leningrad lainnya	Lain dengan Haji Agus Salim, perdana menteri Republik Indonesia (RI) pertama Sutan Sjahrir memiliki kesukaan jajan sate ayam Madura. Dari salah seorang putri-nya, sejarawan Rushdy Hoesein sempat mendapat keterangan jika Sjahrir datang ke suatu tempat maka dia selalu mengutamakan sate ayam sebagai menu makan-nya.	2	False	non-plagiarism
history	Hari ketiga, Subardjo bersiap menuju Moskow, tempat dilangsungkannya perayaan HUT Uni Soviet, dengan menumpang kereta api.	Hari ketiga, Subardjo bersiap menuju Moskow, tempat dilangsungkannya perayaan HUT Uni Soviet, dengan menumpang kereta api.	1	True	partial literal
history	Setiba di stasiun Moskow, rombongan tamu undangan disambut upacara sederhana dari perwakilan pemerintah Soviet. Sesudah itu, rombongan dibawa ke sebuah hotel di pusat kota, dekat kantor pos Moskow	Eichele dan Usman Idris pun ikut merasa lucu dengan situasi itu.	2	False	non-plagiarism
history	Di ruang makan hotel, Subardjo berkenalan dengan seorang perwakilan dari Syria, Amir Shakib Arsalan. Amir adalah seorang sarjana muslim tekemuka yang becita-cita menghidupkan kembali kebangkitan Islam	Di ruang makan hotel, Subardjo berkenalan dengan perwakilan dari Suriah, Amir Shakib Arselan. Amir adalah Sarjana Muslim Tekemuka yang berusaha untuk menghidupkan kembali munculnya Islam 	2	True	paraphrase
history	Dari temannya di Aljazair, Subardjo juga mendengar bahwa Amir sangat gigih dalam memperjuangkan kebangkitan kaum Muslimin.	Dari temannya dalam Aljazair bahwa Amir benar gigih jua didengar Subardjo ketika mengikhtiarkan kesadaran kaum Muslimin 	1	True	structural change
history	Suatu waktu, Subardjo diundang berbicara sebagai salah seorang perwakilan undangan di gedung Teater Bolshoi. Di sana dia berkesempatan mendengar secara langsung gagasan dan pemikiran Amir tentang konsepsi Islam	Suatu kali, Subardjo diundang untuk berbicara sebagai salah satu perwakilan undangan di Bolshoi Theatre Building. Di sana dia memiliki kesempatan untuk mendengar ide langsung dan memikirkan amir tentang konsepsi Islam 	2	True	paraphrase
history	Dalam sebuah pidato Amir membicarakan tentang pembagian kekayaan antara massa yang bekerja keras. Menurut Subardjo, pidato Amir sangat diplomatis, kalimat yang dilontarkan pun tidak membenturkan ideologi komunis dan Islam	Sebagaimana batalyon-batalyon lain, Kala Hitam menghadapi banyak bahaya dalam long march-nya. Menjelang perbatasan Jawa Tengah-Jawa Barat, Kala Hitam dihujani tembakan oleh pasukan Belanda. Namun mereka beruntung karena berhasil melewatinya. Kala Hitam akhirnya bisa mencapai Jawa Barat.	2	False	non-plagiarism
history	Pidatonya mendapat sambutan meriah dari para hadirin yang hadir, termasuk Sulaiman yang seorang Muslim taat dengan pemikiran anti-komunisnya.	Speech  mendapat sambutan meriah dari para hadirin yang present,  termasuk Sulaiman yang a  Muslim taat dengan thought  anti-communist.	1	True	translated
history	Beberapa tahun sesudah pertemuan pertama itu barulah Subardjo mengetahui kalau Amir Shakib Arsalan adalah: “Dewa terkenal dalam kalangan internasional dan tidak hanya seorang ahli besar dalam sejarah Islam, kebudayaan, dan perdaban, akan tetapi berpengalaman dalam menggunakan tidak hanya bahasa-bahasa Timur, tetapi juga bahasa-bahasa Barat. Ia telah mengadakan perjalanan di seluruh dunia, dan mempelajari keadaan orang-orang Muslim dari dekat,” tulis Subardjo.	Sepekan sudah Mochtar Lubis menjadi warga Nirbaya. Pengalaman kocak yang menghibur penghuni rutan blok Amal terjadi. “Jenderal Pranoto sambil tertawa menceritakan pada kami pengalamannya yang cukup lucu kemarin,” kata Mochtar dalam catatan bertanggal 11 Februari.	2	False	non-plagiarism
history	Selain pejuang Muslim dari Syria, Subardjo juga berkawan dengan pejuang, sekaligus bangsawan Rusia terkemuka bernama Georgy Vasilyevich Chicherin dan seorang politisi perempuan Rusia bernama Alexandra Mikhailovna Kolontai. Pertemuan itu terjadi dalam sebuah resepsi malam yang megah di Kremlin. Dalam bahasa Jerman, Chicherin mengatakan kepada Subardjo bahwa dia tertarik dengan Indonesia. Meski belum pernah berkunjung langsung, dia banyak mengetahui kondisi tanah Hindia yang tengah dilanda ketidakadilan dari buku Max Havelaar.	Selain pejuang Muslim bermula Syria Subardjo lagi berkawan bersama pejuang sekalian bangsawan Rusia merajuk bertanda Georgy Vasilyevich Chicherin bersama seorang politisi ibu Rusia bernama Alexandra Mikhailovna Kolontai Pertemuan itu berjalan dalam sebuah perjamuan lilin lebah nan penggah di Kremlin Dalam etiket Jerman akan Subardjo dikata Chicherin bahwa dia terdorong sambil Indonesia Meski belum sempat berkunjung melantas ihwal tanah Hindia besarnya ditahu dia nan pusat dilanda ketidakadilan sejak buku Max Havelaar 	4	True	structural change
history	Chicherin mempunyai kedudukan penting sebagai bangsawan Rusia. Perasaan kemanusiaannya membuat dia banyak mengabdikan diri untuk kepentingan rakyat	Chicherin memiliki posisi penting sebagai bangsawan Rusia. Perasaan kemanusiaan membuatnya mengabdikan banyak kepentingan rakyat 	2	True	paraphrase
history	Chicherin terlibat langsung dalam revolusi Oktober sebagai diplomat di kubu partai Bolshevik. Sama halnya dengan Chicherin, Kolontai juga tergolong kelas atas di kalangan bangsawan Rusia	Syahdan ketika tentara Belanda ditarik dari Yogyakarta pada Juni 1949, TNI harus mengisi kekosongan kawasan ibu kota RI tersebut. Selain itu, sebagian anak buah Panglima Besar Jenderal Soedirman tersebut akan sering berhadapan dengan para peninjau PBB. Di sinilah masalah muncul: penampilan prajurit-prajurit TNI sama sekali jauh dari kelayakan sebuah tentara. Sebagian besar pakaian mereka sudah rombeng karena terlalu lama berperang di hutan-hutan.	2	False	non-plagiarism
history	Dia aktif dalam berbagai gerakan revolusioner di dalam dan di luar Rusia. Sewaktu revolusi pecah, Kolontai ada di kubu orang-orang Bolshevik	Dia aktif dalam berbagai gerakan revolusioner di dalam dan di luar Rusia. Ketika revolusi pecah, Colontai berada di benteng Bolshevik 	2	True	paraphrase
history	Dia memegang jabatan penting pada pemerintah Soviet pertama, yakni Komisaris Departemen Kesejahteraan Sosial.	Dalam sebuah pidato Amir membicarakan tentang pembagian kekayaan antara massa yang bekerja keras. Menurut Subardjo, pidato Amir sangat diplomatis, kalimat yang dilontarkan pun tidak membenturkan ideologi komunis dan Islam	1	False	non-plagiarism
history	“Dalam berita-berita di Negeri Belanda saya membaca keterangan sejarah dari Nyonya Kolontai. Gambaran saya terhadap nyonya tersebut tidak banyak berbeda pada waktu ia berdiri di depan saya, tersenyum dan berjabat tangan dengan hangat,” terang Subardjo.	""" Dalam berita-berita dalam Negeri Belanda saya membaca bahan memori cak Nyonya Kolontai Gambaran aku terhadap nyonya a tidak meluap berbeda cak  ala kurun ia berdiri di permulaan saya mesem dan berjabat tinju dengan baru "" kentara  Subardjo "	2	True	structural change
history	Selama kurang lebih 10 hari tinggal di Soviet, Subardjo menyaksikan secara langsung panasnya situasi politik di negeri berjuluk Beruang Merah tersebut. Rasa simpati dan antipati masyarakat terhadap para pemimpin di sana memberi kesan yang dalam bagi Subardjo. Dia menyebut bahwa kondisi itu terjadi akibat sikap saling mencurigai dan membenci di antara tokoh-tokoh besar Uni Soviet.	Terkait jajanan kesukaan Bung Karno itu, dikonfirmasi oleh putera sulungnya Guntur Sukarnoputra. Menurut Guntur, untuk sate ayam, di Jakarta Bung Karno memiliki langganan khusus yakni sebuah restoran sate ayam Madura bernama Layar Terkembang. Letaknya berada di kawasan Cilincing, perbatasan antara Bekasi dengan Jakarta.	3	False	non-plagiarism
history	Rumah Tahanan Nirbaya yang terletak di kawasan Lubang Buaya, Jakarta Timur. Nama resminya adalah Instalasi Rehabilitasi Nirbaya disingkat Inrehab Nirbaya. Di tempat inilah sejumlah pejabat dan perwira tinggi yang terindikasi Gerakan 30 September (G30S) mendekam dalam status tahanan politik (tapol).	“Tiba-tiba saya tersentak seperti ada yang memukul kepala saya. Mungkin penggemarnya, bisik saya dalam hati. Ternyata setelah saya perhatikan baik-baik, kepala saya terbentur tiang listrik. Orang-orang yang ada di pinggir jalan tersenyum melihat saya.”	3	False	non-plagiarism
history	Pada 4 Februari 1975, Mochtar Lubis memasuki hari pertama sebagai penghuni Nirbaya. Pemimpin redaksi Indonesia Raya itu dipenjara karena pemberitaan korannya yang menyorot secara kritis peristiwa Malari 1974 dan dianggap menyudutkan pemerintah. Hari-harinya di Nirbaya dituangkan ke dalam catatan harian.	Pemimpin redaksi Indonesia Raya itu dipenjara karena pemberitaan korannya yang menyorot secara kritis peristiwa Malari 1974 dan dianggap menyudutkan pemerintah	3	True	partial literal
history	Nirbaya terdiri dari lima blok: Amal, Ikhlas, Bakti, Rela, dan Nusa. Mochtar Lubis menempati paviliun di blok Amal bersebelahan dengan Omar Dani	Rumah Tahanan Nirbaya yang terletak di kawasan Lubang Buaya, Jakarta Timur. Nama resminya adalah Instalasi Rehabilitasi Nirbaya disingkat Inrehab Nirbaya. Di tempat inilah sejumlah pejabat dan perwira tinggi yang terindikasi Gerakan 30 September (G30S) mendekam dalam status tahanan politik (tapol).	2	False	non-plagiarism
history	Keadaan di Nirbaya seturut catatan Mochtar begitu suram dan memprihatinkan. Perlengkapan hampir tidak ada	“Baru sempat beberapa kali menyuap nasi, bahkan ada yang belum sempat menelannya, tembakan gencar datang dari arah Ciwidey. Akhirnya makanan ditinggalkan dan kami segera mengadakan perlawanan hingga berakhir dalam waktu yang tidak begitu lama. Peristiwa itu menunjukkan Tuhan belum mengizinkan memperingati sesuatu sebelum sampai ke tempat tujuan,” ujar Kemal.	2	False	non-plagiarism
history	Sebuah dipan dengan kasur busuk tanpa bantal atau sprei juga tanpa bola lampu listrik. Menu makanan yang disajikan pun tidak memenuhi standar gizi apalagi bagi tapol G30S.	Bung Karno pada dasarnya sangat menyayangi para pelayannya. Menurut salah satu pengawal dekatnya H. Mangil Martowidjojo, kalaupun dia marah pasti tak pernah berlangsung lama. Itu pun dilakukannya supaya para pelayan tersebut berlaku disiplin dan tak lalai kepada tugasnya masing-masing.	2	False	non-plagiarism
history	Mochtar membuang kasur busuknya dan tidur diatas kasur lipat yang dibawa dari rumah. Pranoto memperingatkan Mochtar bahwa di kawasan Nirbaya masih banyak ular sendok dan ular belang. Paviliun Pranoto pernah kemasukan ular beberapa kali. Jadi Mochtar mesti lebih berhati-hati.	Betapapun beratnya perjalanan yang mereka tempuh siang-malam melewati tebing, jurang, hutan, persawahan, dan beragam bentang alam lain, Kala Hitam akhirnya mencapai jalur Cicalengka-Nagrek. Dari sana mereka melanjutkan perjalanan ke arah Ciwidey. Serangan Belanda kembali mereka alami saat menyeberangi Sungai Citarum. Seorang perwira dan seorang prajurit Kala Hitam luka-luka akibat serangan itu.	4	False	non-plagiarism
